,Labels(1=normal and -1=defect)
0,./prototype2_data/SolderBridge/solderBridge_0_4749.bmp,-1
1,./prototype2_data/SolderBridge/solderBridge_0_7544.bmp,-1
2,./prototype2_data/SolderBridge/solderBridge_0_1009.bmp,-1
3,./prototype2_data/SolderBridge/solderBridge_0_6203.bmp,-1
4,./prototype2_data/SolderBridge/solderBridge_0_9226.bmp,-1
5,./prototype2_data/Normal_Type-2/Normal_Type2_0_9610.bmp,1
6,./prototype2_data/SolderBridge/solderBridge_0_3701.bmp,-1
7,./prototype2_data/Normal_Type-2/Normal_Type2_0_3180.bmp,1
8,./prototype2_data/Normal_Type-2/Normal_Type2_0_4079.bmp,1
9,./prototype2_data/SolderBridge/solderBridge_0_2829.bmp,-1
10,./prototype2_data/Normal_Type-2/Normal_Type2_0_1695.bmp,1
11,./prototype2_data/Normal_Type-2/Normal_Type2_0_6896.bmp,1
12,./prototype2_data/Normal_Type-2/Normal_Type2_0_9044.bmp,1
13,./prototype2_data/Normal_Type-2/Normal_Type2_0_1096.bmp,1
14,./prototype2_data/SolderBridge/solderBridge_0_3088.bmp,-1
15,./prototype2_data/SolderBridge/solderBridge_0_9544.bmp,-1
16,./prototype2_data/Normal_Type-2/Normal_Type2_0_2368.bmp,1
17,./prototype2_data/SolderBridge/solderBridge_0_9127.bmp,-1
18,./prototype2_data/Normal_Type-2/Normal_Type2_0_358.bmp,1
19,./prototype2_data/SolderBridge/solderBridge_0_8891.bmp,-1
20,./prototype2_data/SolderBridge/solderBridge_0_9119.bmp,-1
21,./prototype2_data/Normal_Type-2/Normal_Type2_0_7640.bmp,1
22,./prototype2_data/Normal_Type-2/Normal_Type2_0_9559.bmp,1
23,./prototype2_data/SolderBridge/solderBridge_0_2578.bmp,-1
24,./prototype2_data/Normal_Type-2/Normal_Type2_0_7509.bmp,1
25,./prototype2_data/SolderBridge/solderBridge_0_1286.bmp,-1
26,./prototype2_data/SolderBridge/solderBridge_0_5137.bmp,-1
27,./prototype2_data/Normal_Type-2/Normal_Type2_0_9085.bmp,1
28,./prototype2_data/SolderBridge/solderBridge_0_6600.bmp,-1
29,./prototype2_data/Normal_Type-2/Normal_Type2_0_1386.bmp,1
