,ImagePath
0,./prototype2_data/SolderBridge/solderBridge_0_4490.bmp
1,./prototype2_data/SolderBridge/solderBridge_0_702.bmp
2,./prototype2_data/SolderBridge/solderBridge_0_2318.bmp
3,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3597_Q06.bmp
4,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2732_Q12.bmp
5,./prototype2_data/SolderBridge/solderBridge_0_3789.bmp
6,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3652_Q12.bmp
7,./prototype2_data/SolderBridge/solderBridge_0_9196.bmp
8,./prototype2_data/SolderBridge/solderBridge_0_9382.bmp
9,./prototype2_data/SolderBridge/solderBridge_0_2761.bmp
10,./prototype2_data/SolderBridge/solderBridge_0_8793.bmp
11,./prototype2_data/SolderBridge/solderBridge_0_6609.bmp
12,./prototype2_data/SolderBridge/solderBridge_0_601.bmp
13,./prototype2_data/SolderBridge/solderBridge_0_372.bmp
14,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4232_Q09.bmp
15,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2424_Q09.bmp
16,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2992_Q06.bmp
17,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3914_Q09.bmp
18,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1714_Q03.bmp
19,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4392_Q06.bmp
20,./prototype2_data/SolderBridge/solderBridge_0_7769.bmp
21,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4001_Q06.bmp
22,./prototype2_data/SolderBridge/solderBridge_0_4391.bmp
23,./prototype2_data/SolderBridge/solderBridge_0_7842.bmp
24,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3382_Q06.bmp
25,./prototype2_data/SolderBridge/solderBridge_0_1628.bmp
26,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1811_Q09.bmp
27,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4090_Q06.bmp
28,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1864_Q09.bmp
29,./prototype2_data/SolderBridge/solderBridge_0_644.bmp
30,./prototype2_data/SolderBridge/solderBridge_0_1702.bmp
31,./prototype2_data/SolderBridge/solderBridge_0_6859.bmp
32,./prototype2_data/SolderBridge/solderBridge_0_134.bmp
33,./prototype2_data/SolderBridge/solderBridge_0_1150.bmp
34,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2785_Q06.bmp
35,./prototype2_data/SolderBridge/solderBridge_0_253.bmp
36,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4144_Q12.bmp
37,./prototype2_data/SolderBridge/solderBridge_0_81.bmp
38,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4194_Q06.bmp
39,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1690_Q06.bmp
40,./prototype2_data/SolderBridge/solderBridge_0_7535.bmp
41,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2928_Q03.bmp
42,./prototype2_data/SolderBridge/solderBridge_0_2203.bmp
43,./prototype2_data/SolderBridge/solderBridge_0_5262.bmp
44,./prototype2_data/SolderBridge/solderBridge_0_5499.bmp
45,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3446_Q12.bmp
46,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3892_Q06.bmp
47,./prototype2_data/SolderBridge/solderBridge_0_5560.bmp
48,./prototype2_data/SolderBridge/solderBridge_0_9166.bmp
49,./prototype2_data/SolderBridge/solderBridge_0_4781.bmp
50,./prototype2_data/SolderBridge/solderBridge_0_8685.bmp
51,./prototype2_data/SolderBridge/solderBridge_0_8905.bmp
52,./prototype2_data/SolderBridge/solderBridge_0_5686.bmp
53,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2634_Q12.bmp
54,./prototype2_data/SolderBridge/solderBridge_0_9420.bmp
55,./prototype2_data/SolderBridge/solderBridge_0_109.bmp
56,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2896_Q06.bmp
