,Labels(1=normal and -1=defect)
0,./prototype2_data/SolderBridge/solderBridge_0_4490.bmp,-1
1,./prototype2_data/SolderBridge/solderBridge_0_702.bmp,-1
2,./prototype2_data/SolderBridge/solderBridge_0_2318.bmp,1
3,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3597_Q06.bmp,1
4,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2732_Q12.bmp,1
5,./prototype2_data/SolderBridge/solderBridge_0_3789.bmp,1
6,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3652_Q12.bmp,1
7,./prototype2_data/SolderBridge/solderBridge_0_9196.bmp,-1
8,./prototype2_data/SolderBridge/solderBridge_0_9382.bmp,-1
9,./prototype2_data/SolderBridge/solderBridge_0_2761.bmp,-1
10,./prototype2_data/SolderBridge/solderBridge_0_8793.bmp,-1
11,./prototype2_data/SolderBridge/solderBridge_0_6609.bmp,-1
12,./prototype2_data/SolderBridge/solderBridge_0_601.bmp,-1
13,./prototype2_data/SolderBridge/solderBridge_0_372.bmp,-1
14,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4232_Q09.bmp,1
15,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2424_Q09.bmp,1
16,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2992_Q06.bmp,1
17,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3914_Q09.bmp,1
18,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1714_Q03.bmp,1
19,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4392_Q06.bmp,-1
20,./prototype2_data/SolderBridge/solderBridge_0_7769.bmp,-1
21,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4001_Q06.bmp,1
22,./prototype2_data/SolderBridge/solderBridge_0_4391.bmp,-1
23,./prototype2_data/SolderBridge/solderBridge_0_7842.bmp,-1
24,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3382_Q06.bmp,1
25,./prototype2_data/SolderBridge/solderBridge_0_1628.bmp,1
26,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1811_Q09.bmp,1
27,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4090_Q06.bmp,1
28,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1864_Q09.bmp,1
29,./prototype2_data/SolderBridge/solderBridge_0_644.bmp,-1
30,./prototype2_data/SolderBridge/solderBridge_0_1702.bmp,-1
31,./prototype2_data/SolderBridge/solderBridge_0_6859.bmp,-1
32,./prototype2_data/SolderBridge/solderBridge_0_134.bmp,-1
33,./prototype2_data/SolderBridge/solderBridge_0_1150.bmp,-1
34,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2785_Q06.bmp,1
35,./prototype2_data/SolderBridge/solderBridge_0_253.bmp,-1
36,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4144_Q12.bmp,1
37,./prototype2_data/SolderBridge/solderBridge_0_81.bmp,1
38,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4194_Q06.bmp,1
39,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1690_Q06.bmp,1
40,./prototype2_data/SolderBridge/solderBridge_0_7535.bmp,-1
41,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2928_Q03.bmp,1
42,./prototype2_data/SolderBridge/solderBridge_0_2203.bmp,-1
43,./prototype2_data/SolderBridge/solderBridge_0_5262.bmp,-1
44,./prototype2_data/SolderBridge/solderBridge_0_5499.bmp,-1
45,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3446_Q12.bmp,1
46,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3892_Q06.bmp,1
47,./prototype2_data/SolderBridge/solderBridge_0_5560.bmp,-1
48,./prototype2_data/SolderBridge/solderBridge_0_9166.bmp,-1
49,./prototype2_data/SolderBridge/solderBridge_0_4781.bmp,-1
50,./prototype2_data/SolderBridge/solderBridge_0_8685.bmp,-1
51,./prototype2_data/SolderBridge/solderBridge_0_8905.bmp,-1
52,./prototype2_data/SolderBridge/solderBridge_0_5686.bmp,-1
53,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2634_Q12.bmp,1
54,./prototype2_data/SolderBridge/solderBridge_0_9420.bmp,-1
55,./prototype2_data/SolderBridge/solderBridge_0_109.bmp,-1
56,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2896_Q06.bmp,1
57,./prototype2_data/SolderBridge/solderBridge_0_1815.bmp,-1
