,ImagePath
0,./prototype2_data/Shifting/shifting_0_3318.bmp
1,./prototype2_data/Normal_Type-2/Normal_Type2_0_4156.bmp
2,./prototype2_data/Normal_Type-2/Normal_Type2_0_56.bmp
3,./prototype2_data/Shifting/shifting_0_1701.bmp
4,./prototype2_data/Normal_Type-2/Normal_Type2_0_278.bmp
5,./prototype2_data/Normal_Type-2/Normal_Type2_0_4109.bmp
6,./prototype2_data/Shifting/shifting_0_6663.bmp
7,./prototype2_data/Shifting/shifting_0_2472.bmp
8,./prototype2_data/Normal_Type-2/Normal_Type2_0_5166.bmp
9,./prototype2_data/Shifting/shifting_0_1223.bmp
10,./prototype2_data/Shifting/shifting_0_8360.bmp
11,./prototype2_data/Normal_Type-2/Normal_Type2_0_355.bmp
12,./prototype2_data/Normal_Type-2/Normal_Type2_0_862.bmp
13,./prototype2_data/Shifting/shifting_0_1350.bmp
14,./prototype2_data/Shifting/shifting_0_4426.bmp
15,./prototype2_data/Shifting/shifting_0_5610.bmp
16,./prototype2_data/Normal_Type-2/Normal_Type2_0_341.bmp
17,./prototype2_data/Normal_Type-2/Normal_Type2_0_9424.bmp
18,./prototype2_data/Shifting/shifting_0_912.bmp
19,./prototype2_data/Normal_Type-2/Normal_Type2_0_4148.bmp
20,./prototype2_data/Shifting/shifting_0_9984.bmp
21,./prototype2_data/Normal_Type-2/Normal_Type2_0_8046.bmp
22,./prototype2_data/Normal_Type-2/Normal_Type2_0_5823.bmp
23,./prototype2_data/Shifting/shifting_0_5306.bmp
24,./prototype2_data/Shifting/shifting_0_9811.bmp
25,./prototype2_data/Shifting/shifting_0_3082.bmp
26,./prototype2_data/Normal_Type-2/Normal_Type2_0_8363.bmp
27,./prototype2_data/Normal_Type-2/Normal_Type2_0_7840.bmp
28,./prototype2_data/Shifting/shifting_0_8104.bmp
29,./prototype2_data/Normal_Type-2/Normal_Type2_0_9696.bmp
30,./prototype2_data/Shifting/shifting_0_9468.bmp
31,./prototype2_data/Normal_Type-2/Normal_Type2_0_3216.bmp
32,./prototype2_data/Normal_Type-2/Normal_Type2_0_5201.bmp
33,./prototype2_data/Normal_Type-2/Normal_Type2_0_5663.bmp
34,./prototype2_data/Normal_Type-2/Normal_Type2_0_7560.bmp
35,./prototype2_data/Shifting/shifting_0_8760.bmp
36,./prototype2_data/Normal_Type-2/Normal_Type2_0_5088.bmp
37,./prototype2_data/Normal_Type-2/Normal_Type2_0_2172.bmp
38,./prototype2_data/Normal_Type-2/Normal_Type2_0_9821.bmp
39,./prototype2_data/Shifting/shifting_0_2060.bmp
40,./prototype2_data/Shifting/shifting_0_1904.bmp
41,./prototype2_data/Normal_Type-2/Normal_Type2_0_3352.bmp
42,./prototype2_data/Shifting/shifting_0_9055.bmp
43,./prototype2_data/Shifting/shifting_0_3688.bmp
44,./prototype2_data/Normal_Type-2/Normal_Type2_0_1837.bmp
45,./prototype2_data/Shifting/shifting_0_1913.bmp
46,./prototype2_data/Normal_Type-2/Normal_Type2_0_7923.bmp
47,./prototype2_data/Shifting/shifting_0_5628.bmp
48,./prototype2_data/Normal_Type-2/Normal_Type2_0_5481.bmp
49,./prototype2_data/Shifting/shifting_0_9372.bmp
50,./prototype2_data/Normal_Type-2/Normal_Type2_0_2595.bmp
51,./prototype2_data/Normal_Type-2/Normal_Type2_0_8894.bmp
52,./prototype2_data/Normal_Type-2/Normal_Type2_0_917.bmp
53,./prototype2_data/Shifting/shifting_0_3189.bmp
54,./prototype2_data/Normal_Type-2/Normal_Type2_0_6103.bmp
55,./prototype2_data/Shifting/shifting_0_9437.bmp
56,./prototype2_data/Shifting/shifting_0_1750.bmp
57,./prototype2_data/Normal_Type-2/Normal_Type2_0_8917.bmp
58,./prototype2_data/Shifting/shifting_0_5058.bmp
59,./prototype2_data/Shifting/shifting_0_4716.bmp
60,./prototype2_data/Normal_Type-2/Normal_Type2_0_5023.bmp
61,./prototype2_data/Shifting/shifting_0_8022.bmp
62,./prototype2_data/Shifting/shifting_0_2653.bmp
63,./prototype2_data/Normal_Type-2/Normal_Type2_0_1188.bmp
64,./prototype2_data/Normal_Type-2/Normal_Type2_0_4413.bmp
65,./prototype2_data/Normal_Type-2/Normal_Type2_0_1140.bmp
66,./prototype2_data/Normal_Type-2/Normal_Type2_0_6387.bmp
67,./prototype2_data/Normal_Type-2/Normal_Type2_0_7452.bmp
68,./prototype2_data/Normal_Type-2/Normal_Type2_0_9468.bmp
69,./prototype2_data/Shifting/shifting_0_2684.bmp
70,./prototype2_data/Shifting/shifting_0_7583.bmp
71,./prototype2_data/Normal_Type-2/Normal_Type2_0_4812.bmp
72,./prototype2_data/Normal_Type-2/Normal_Type2_0_4406.bmp
73,./prototype2_data/Normal_Type-2/Normal_Type2_0_7122.bmp
74,./prototype2_data/Shifting/shifting_0_7426.bmp
75,./prototype2_data/Shifting/shifting_0_5899.bmp
76,./prototype2_data/Normal_Type-2/Normal_Type2_0_7435.bmp
77,./prototype2_data/Normal_Type-2/Normal_Type2_0_7238.bmp
78,./prototype2_data/Normal_Type-2/Normal_Type2_0_3951.bmp
79,./prototype2_data/Normal_Type-2/Normal_Type2_0_4969.bmp
80,./prototype2_data/Shifting/shifting_0_9901.bmp
81,./prototype2_data/Normal_Type-2/Normal_Type2_0_2832.bmp
82,./prototype2_data/Shifting/shifting_0_720.bmp
83,./prototype2_data/Normal_Type-2/Normal_Type2_0_8007.bmp
84,./prototype2_data/Normal_Type-2/Normal_Type2_0_335.bmp
85,./prototype2_data/Normal_Type-2/Normal_Type2_0_358.bmp
86,./prototype2_data/Shifting/shifting_0_1479.bmp
87,./prototype2_data/Normal_Type-2/Normal_Type2_0_5325.bmp
88,./prototype2_data/Normal_Type-2/Normal_Type2_0_9129.bmp
89,./prototype2_data/Normal_Type-2/Normal_Type2_0_8158.bmp
90,./prototype2_data/Normal_Type-2/Normal_Type2_0_7416.bmp
91,./prototype2_data/Normal_Type-2/Normal_Type2_0_5963.bmp
92,./prototype2_data/Normal_Type-2/Normal_Type2_0_4447.bmp
93,./prototype2_data/Normal_Type-2/Normal_Type2_0_4561.bmp
94,./prototype2_data/Shifting/shifting_0_1516.bmp
95,./prototype2_data/Normal_Type-2/Normal_Type2_0_1163.bmp
96,./prototype2_data/Normal_Type-2/Normal_Type2_0_1652.bmp
97,./prototype2_data/Normal_Type-2/Normal_Type2_0_1015.bmp
98,./prototype2_data/Shifting/shifting_0_7884.bmp
99,./prototype2_data/Shifting/shifting_0_355.bmp
100,./prototype2_data/Shifting/shifting_0_8246.bmp
101,./prototype2_data/Shifting/shifting_0_3057.bmp
102,./prototype2_data/Normal_Type-2/Normal_Type2_0_8468.bmp
103,./prototype2_data/Normal_Type-2/Normal_Type2_0_3107.bmp
104,./prototype2_data/Normal_Type-2/Normal_Type2_0_7714.bmp
105,./prototype2_data/Shifting/shifting_0_2200.bmp
106,./prototype2_data/Shifting/shifting_0_4016.bmp
107,./prototype2_data/Shifting/shifting_0_1099.bmp
108,./prototype2_data/Shifting/shifting_0_9484.bmp
109,./prototype2_data/Shifting/shifting_0_6801.bmp
110,./prototype2_data/Normal_Type-2/Normal_Type2_0_2633.bmp
111,./prototype2_data/Normal_Type-2/Normal_Type2_0_1901.bmp
112,./prototype2_data/Normal_Type-2/Normal_Type2_0_1790.bmp
113,./prototype2_data/Normal_Type-2/Normal_Type2_0_4361.bmp
114,./prototype2_data/Normal_Type-2/Normal_Type2_0_9626.bmp
115,./prototype2_data/Normal_Type-2/Normal_Type2_0_9133.bmp
116,./prototype2_data/Shifting/shifting_0_1042.bmp
117,./prototype2_data/Shifting/shifting_0_1288.bmp
118,./prototype2_data/Shifting/shifting_0_1317.bmp
119,./prototype2_data/Shifting/shifting_0_5182.bmp
120,./prototype2_data/Shifting/shifting_0_1048.bmp
