,Labels(1=normal and -1=defect)
0,./prototype2_data/Shifting/shifting_0_3318.bmp,-1
1,./prototype2_data/Normal_Type-2/Normal_Type2_0_4156.bmp,-1
2,./prototype2_data/Normal_Type-2/Normal_Type2_0_56.bmp,-1
3,./prototype2_data/Shifting/shifting_0_1701.bmp,-1
4,./prototype2_data/Normal_Type-2/Normal_Type2_0_278.bmp,1
5,./prototype2_data/Normal_Type-2/Normal_Type2_0_4109.bmp,1
6,./prototype2_data/Shifting/shifting_0_6663.bmp,-1
7,./prototype2_data/Shifting/shifting_0_2472.bmp,-1
8,./prototype2_data/Normal_Type-2/Normal_Type2_0_5166.bmp,1
9,./prototype2_data/Shifting/shifting_0_1223.bmp,-1
10,./prototype2_data/Shifting/shifting_0_8360.bmp,-1
11,./prototype2_data/Normal_Type-2/Normal_Type2_0_355.bmp,-1
12,./prototype2_data/Normal_Type-2/Normal_Type2_0_862.bmp,1
13,./prototype2_data/Shifting/shifting_0_1350.bmp,-1
14,./prototype2_data/Shifting/shifting_0_4426.bmp,-1
15,./prototype2_data/Shifting/shifting_0_5610.bmp,-1
16,./prototype2_data/Normal_Type-2/Normal_Type2_0_341.bmp,1
17,./prototype2_data/Normal_Type-2/Normal_Type2_0_9424.bmp,-1
18,./prototype2_data/Shifting/shifting_0_912.bmp,1
19,./prototype2_data/Normal_Type-2/Normal_Type2_0_4148.bmp,-1
20,./prototype2_data/Shifting/shifting_0_9984.bmp,-1
21,./prototype2_data/Normal_Type-2/Normal_Type2_0_8046.bmp,1
22,./prototype2_data/Normal_Type-2/Normal_Type2_0_5823.bmp,-1
23,./prototype2_data/Shifting/shifting_0_5306.bmp,-1
24,./prototype2_data/Shifting/shifting_0_9811.bmp,-1
25,./prototype2_data/Shifting/shifting_0_3082.bmp,-1
26,./prototype2_data/Normal_Type-2/Normal_Type2_0_8363.bmp,1
27,./prototype2_data/Normal_Type-2/Normal_Type2_0_7840.bmp,1
